2026-02-05 22:26:38 | src.common.logger | INFO | 🚀 Logger initialized for ml-service
2026-02-05 23:04:57 | __main__ | INFO | 🔍 Sample dtypes: {'vendor_id': dtype('float64'), 'passenger_count': dtype('float64'), 'pickup_longitude': dtype('float64'), 'pickup_latitude': dtype('float64'), 'dropoff_longitude': dtype('float64')}
2026-02-05 23:04:57 | __main__ | INFO | 🤖 CatBoost...
2026-02-05 23:04:58 | __main__ | INFO | 📈 Mean: 797.5s | P95: 1883.1s
2026-02-05 23:05:11 | __main__ | INFO | 💾 1,458,644 rows → data\preds.csv
2026-02-05 23:29:44 | src.common.logger | INFO | 🚀 Logger initialized for ml-service
2026-02-05 23:30:00 | common.logger | INFO | 🚀 Logger initialized for ml-service
2026-02-05 23:30:00 | __main__ | INFO | 🚀 Batch predict
2026-02-05 23:30:03 | inference.model_loader | INFO | Loaded model and KMeans for version=v20260205202620 from models\versions\v20260205202620
2026-02-05 23:30:03 | __main__ | INFO | ✅ vv20260205202620 RMSLE: 0.3523002989104821
2026-02-05 23:30:08 | __main__ | INFO | 📊 1,458,644 rows
2026-02-05 23:30:09 | __main__ | INFO | ⏰ Features extracted (raw KEPT)
2026-02-05 23:30:10 | __main__ | INFO | ✅ Clean: (1458644, 12)
2026-02-05 23:30:12 | __main__ | INFO | 📊 Raw features: (1458644, 40)
2026-02-05 23:30:12 | __main__ | INFO | 🧹 Dropping datetime cols: ['pickup_datetime', 'dropoff_datetime']
2026-02-05 23:30:15 | __main__ | INFO | ✅ Numeric features: (1,458,644, 38)
2026-02-05 23:30:15 | __main__ | INFO | 🔍 Sample dtypes: {'vendor_id': dtype('float64'), 'passenger_count': dtype('float64'), 'pickup_longitude': dtype('float64'), 'pickup_latitude': dtype('float64'), 'dropoff_longitude': dtype('float64')}
2026-02-05 23:30:15 | __main__ | INFO | 🤖 CatBoost...
2026-02-05 23:30:16 | __main__ | INFO | 📈 Mean: 798.2s | P95: 1885.0s
2026-02-05 23:30:30 | __main__ | INFO | 💾 1,458,644 rows → data\preds.csv
